number               collision            collision_obst       flowtime             makespan             runtime              success              sum_of_dists         max_dist            
10                   0                    0                    1150                 192                  0.003                100                  1150.0               192.0               
10                   0                    0                    1433                 193                  0.003                100                  1433.0               193.0               
10                   0                    0                    904                  213                  0.002                100                  904.0                213.0               
10                   0                    0                    990                  167                  0.002                100                  990.0                167.0               
10                   0                    0                    706                  102                  0.002                100                  706.0                102.0               
10                   0                    0                    670                  161                  0.003                100                  670.0                161.0               
10                   0                    0                    1160                 226                  0.004                100                  1160.0               226.0               
10                   0                    0                    780                  162                  0.003                100                  780.0                162.0               
10                   0                    0                    1085                 152                  0.002                100                  1085.0               152.0               
10                   0                    0                    1199                 205                  0.003                100                  1199.0               205.0               
20                   0                    0                    1096                 136                  0.005                100                  1096.0               136.0               
20                   0                    0                    1497                 171                  0.006                100                  1497.0               171.0               
20                   0                    0                    1644                 193                  0.006                100                  1644.0               193.0               
20                   0                    0                    1665                 196                  0.006                100                  1665.0               196.0               
20                   0                    0                    1335                 106                  0.004                100                  1335.0               106.0               
20                   0                    0                    1899                 171                  0.006                100                  1899.0               171.0               
20                   0                    0                    1052                 163                  0.006                100                  1051.0               163.0               
20                   0                    0                    1242                 150                  0.006                100                  1242.0               150.0               
20                   0                    0                    1113                 141                  0.005                100                  1070.0               141.0               
20                   0                    0                    953                  129                  0.005                100                  953.0                129.0               
30                   0                    0                    1219                 102                  0.006                100                  1219.0               102.0               
30                   0                    0                    1903                 151                  0.01                 100                  1903.0               151.0               
30                   0                    0                    1637                 146                  0.008                100                  1611.0               146.0               
30                   0                    0                    2155                 184                  0.01                 100                  2155.0               184.0               
30                   0                    0                    1530                 137                  0.008                100                  1530.0               137.0               
30                   0                    0                    2039                 151                  0.009                100                  2039.0               151.0               
30                   0                    0                    1665                 169                  0.01                 100                  1665.0               169.0               
30                   0                    0                    1893                 144                  0.009                100                  1893.0               144.0               
30                   0                    0                    1275                 108                  0.007                100                  1275.0               108.0               
30                   0                    0                    1726                 136                  0.009                100                  1726.0               136.0               
40                   0                    0                    1715                 107                  0.01                 100                  1715.0               107.0               
40                   0                    0                    1620                 112                  0.011                100                  1620.0               112.0               
40                   0                    0                    1405                 101                  0.009                100                  1379.0               101.0               
40                   0                    0                    3081                 196                  0.014                100                  3080.0               196.0               
40                   0                    0                    2045                 137                  0.01                 100                  2045.0               137.0               
40                   0                    0                    2568                 146                  0.013                100                  2562.0               146.0               
40                   0                    0                    2015                 117                  0.011                100                  1943.0               117.0               
40                   0                    0                    1757                 90                   0.008                100                  1757.0               90.0                
40                   0                    0                    1598                 105                  0.009                100                  1584.0               105.0               
40                   0                    0                    3261                 172                  0.014                100                  3261.0               172.0               
50                   0                    0                    2608                 133                  0.016                100                  2604.0               133.0               
50                   0                    0                    2190                 97                   0.013                100                  2190.0               97.0                
50                   0                    0                    2019                 125                  0.015                100                  1985.0               125.0               
50                   0                    0                    3429                 177                  0.017                100                  3429.0               177.0               
50                   0                    0                    2099                 84                   0.011                100                  2099.0               84.0                
50                   0                    0                    2012                 89                   0.012                100                  1994.0               89.0                
50                   0                    0                    2343                 106                  0.014                100                  2343.0               106.0               
50                   0                    0                    2010                 83                   0.011                100                  2009.0               82.0                
50                   0                    0                    1912                 93                   0.011                100                  1856.0               93.0                
50                   0                    0                    3310                 132                  0.016                100                  3310.0               132.0               
